Ratos AB ser. A,RATO-A,,,,,,,,,
Ratos AB ser. B,RATO-B,,,,,,,,,
SAAB AB ser. B,SAAB-B,,,,,,,,,
Sagax AB A,SAGA-A,,,,,,,,,
Sagax AB B,SAGA-B,,,,,,,,,
Sagax AB D,SAGA-D,,,,,,,,,
Sampo Plc SDB,SAMPO-SDB,,,,,,,,,
Sandvik AB,SAND,,,,,,,,,
Nordnet AB,SAVE,,,,,,,,,
SamhAllsbyggnadsbolaget i Nord,SBB-B,,,,,,,,,
SamhAllsbyggnadsb. i Norden AB,SBB-D,,,,,,,,,
Svenska Cellulosa AB SCA ser. ,SCA-A,,,,,,,,,
Svenska Cellulosa AB SCA ser. ,SCA-B,,,,,,,,,
Skand. Enskilda Banken ser. A,SEB-A,,,,,,,,,
Skand. Enskilda Banken ser. C,SEB-C,,,,,,,,,
SECTRA AB ser B,SECT-B,,,,,,,,,
Securitas AB ser. B,SECU-B,,,,,,,,,
Svenska Handelsbanken ser. A,SHB-A,,,,,,,,,
Svenska Handelsbanken ser. B,SHB-B,,,,,,,,,
Sinch AB,SINCH,,,,,,,,,
Skanska AB ser. B,SKA-B,,,,,,,,,
"SKF, AB ser. A",SKF-A,,,,,,,,,
"SKF, AB ser. B",SKF-B,,,,,,,,,
Swedish Orphan Biovitrum AB,SOBI,,,,,,,,,
SSAB AB ser. A,SSAB-A,,,,,,,,,
SSAB AB ser. B,SSAB-B,,,,,,,,,
Stora Enso Oyj ser. A,STE-A,,,,,,,,,
Stora Enso Oyj ser. R,STE-R,,,,,,,,,
Storskogen Group AB ser. B,STOR-B,,,,,,,,,
SWECO AB ser. A,SWEC-A,,,,,,,,,
SWECO AB ser. B,SWEC-B,,,,,,,,,
Swedbank AB ser A,SWED-A,,,,,,,,,
Systemair AB,SYSR,,,,,,,,,
Tele2 AB ser. A,TEL2-A,,,,,,,,,
Tele2 AB ser. B,TEL2-B,,,,,,,,,
Telia Company AB (publ),TELIA,,,,,,,,,
Thule Group AB,THULE,,,,,,,,,
